trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
555,False,"{'a': 0.002, 'e': 0.3302187385548933}",30,16,-48.24783253007591,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
556,False,"{'a': 0.002, 'e': 0.32955896107518906}",25,15,18.03807131997376,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
557,False,"{'a': 0.002, 'e': 0.3289005018317685}",30,16,-2.597411230949467,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
558,False,"{'a': 0.002, 'e': 0.32824335819079375}",20,15,-10.285996222659854,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
559,False,"{'a': 0.002, 'e': 0.3275875275236895}",25,6,-20.321000362650125,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
560,False,"{'a': 0.002, 'e': 0.3269330072071321}",20,15,8.428060843742193,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.002, 'e': 0.32627979462303947}",20,0,-48.257989368553055,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
562,False,"{'a': 0.002, 'e': 0.32562788715856034}",20,3,5.4807488436018845,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
563,False,"{'a': 0.002, 'e': 0.324977282206064}",20,7,5.099650777549913,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
564,False,"{'a': 0.002, 'e': 0.3243279771631298}",20,0,5.866669444904804,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
